name,vote_average,vote_count,overview,genres,keyword,trailer,imdb_id,quality_score,soup
Chicago Med,8.278,1225,"An emotional thrill ride through the day-to-day chaos of the city's most explosive hospital and the courageous team of doctors who hold it together. They will tackle unique new cases inspired by topical events, forging fiery relationships in the pulse-pounding pandemonium of the emergency room.",['Drama'],"['nurse', 'chicago, illinois', 'hospital', 'doctor', 'spin off', 'medical drama']",https://www.youtube.com/watch?v=U2NZ7G02e40,tt4655480,0.6442791492818017,"nurse chicago, illinois hospital doctor spin off medical drama Drama Drama Drama Drama Drama Drama Drama Drama Drama"
Fawlty Towers,8.278,781,"Owner Basil Fawlty, his wife Sybil, a chambermaid Polly, and Spanish waiter Manuel attempt to run their hotel amidst farcical situations and an array of demanding guests.",['Comedy'],"['hotel', 'waitress', 'married couple', 'slapstick comedy', 'chef', 'waiter', 'sitcom', 'angry', 'paranoid', 'torquay', 'workplace comedy', 'devon', 'guests', 'absurd', 'hilarious', 'ambiguous', 'amused', 'excited', 'exhilarated', 'sympathetic']",,tt0072500,0.8145327135958311,hotel waitress married couple slapstick comedy chef waiter sitcom angry paranoid torquay workplace comedy devon guests absurd hilarious ambiguous amused excited exhilarated sympathetic Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy
Andor,8.275,1881,"In an era filled with danger, deception and intrigue, Cassian Andor will discover the difference he can make in the struggle against the tyrannical Galactic Empire. He embarks on a path that is destined to turn him into a rebel hero.","['Sci-Fi & Fantasy', 'Action & Adventure', 'Drama']","['space war', 'prequel', 'space', 'rebellion', 'revolutionary', 'imperialism', 'political thriller', 'spy thriller', 'inspirational', 'hopeful', 'urgent']",https://www.youtube.com/watch?v=duN-KQgOjYs,tt9253284,0.8478094063779903,space war prequel space rebellion revolutionary imperialism political thriller spy thriller inspirational hopeful urgent Sci-Fi & Fantasy Action & Adventure Drama Sci-Fi & Fantasy Action & Adventure Drama Sci-Fi & Fantasy Action & Adventure Drama Sci-Fi & Fantasy Action & Adventure Drama Sci-Fi & Fantasy Action & Adventure Drama Sci-Fi & Fantasy Action & Adventure Drama Sci-Fi & Fantasy Action & Adventure Drama Sci-Fi & Fantasy Action & Adventure Drama Sci-Fi & Fantasy Action & Adventure Drama
Ninja Kamui,8.275,336,"A team of assassins exacts a bloody retribution on Joe Logan – a former ninja who escaped his clan – and his family for betraying their ancient code. Rising from his seeming ""death,"" Joe will re-emerge as his former self – Ninja Kamui – to avenge his family and friends and bring down the very clan that made him.","['Animation', 'Action & Adventure']","['ninja', 'anime']",https://www.youtube.com/watch?v=phzYW8uo6JM,tt28480255,0.6707318437218687,ninja anime Animation Action & Adventure Animation Action & Adventure Animation Action & Adventure Animation Action & Adventure Animation Action & Adventure Animation Action & Adventure Animation Action & Adventure Animation Action & Adventure Animation Action & Adventure
It's Always Sunny in Philadelphia,8.275,1287,"Four egocentric friends run a neighborhood Irish pub in Philadelphia and try to find their way through the adult world of work and relationships. Unfortunately, their warped views and precarious judgments often lead them to trouble, creating a myriad of uncomfortable situations that usually only get worse before they get better.",['Comedy'],"['philadelphia, pennsylvania', 'sibling relationship', 'parent child relationship', 'male friendship', 'slacker', 'crude humor', 'dysfunctional family', 'dark comedy', 'family relationships', 'politically incorrect', 'sitcom', 'bar', 'pub', 'hilarious']",https://www.youtube.com/watch?v=blLAdGYPhiQ,tt0472954,0.6431977563537832,"philadelphia, pennsylvania sibling relationship parent child relationship male friendship slacker crude humor dysfunctional family dark comedy family relationships politically incorrect sitcom bar pub hilarious Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy"
Lessons in Chemistry,8.272,344,"In the 1950s, Elizabeth Zott's dream of being a scientist is challenged by a society that says women belong in the domestic sphere. She accepts a job on a TV cooking show and sets out to teach a nation of overlooked housewives way more than recipes.",['Drama'],"['based on novel or book', 'cooking', 'harvard university', 'sexism', 'chemistry', 'romance', 'chemist', 'scientist', 'period drama', '1950s', 'male chauvinism', 'cooking show']",https://www.youtube.com/watch?v=-1PuK8mxASE,tt13911628,0.7342379097887595,based on novel or book cooking harvard university sexism chemistry romance chemist scientist period drama 1950s male chauvinism cooking show Drama Drama Drama Drama Drama Drama Drama Drama Drama
Justice League Unlimited,8.272,850,The galaxy's most powerful superheroes return to battle the allied villains and criminal plots that endanger the universe.,"['Animation', 'Action & Adventure', 'Sci-Fi & Fantasy', 'Kids']","['based on comic', 'superhero team']",https://www.youtube.com/watch?v=17j-_SEuiXM,tt6025022,0.8028914856027887,based on comic superhero team Animation Action & Adventure Sci-Fi & Fantasy Kids Animation Action & Adventure Sci-Fi & Fantasy Kids Animation Action & Adventure Sci-Fi & Fantasy Kids Animation Action & Adventure Sci-Fi & Fantasy Kids Animation Action & Adventure Sci-Fi & Fantasy Kids Animation Action & Adventure Sci-Fi & Fantasy Kids Animation Action & Adventure Sci-Fi & Fantasy Kids Animation Action & Adventure Sci-Fi & Fantasy Kids Animation Action & Adventure Sci-Fi & Fantasy Kids
The Midnight Gospel,8.268,902,"Traversing trippy worlds inside his universe simulator, Clancy the space caster explores existential questions about life, death and everything in between.","['Animation', 'Comedy', 'Sci-Fi & Fantasy', 'Mystery']","['philosophy', 'simulation', 'universe', 'fantasy world', 'psychedelic', 'meditative', 'trippy', 'reflective', 'cerebral', 'reminiscent', 'offbeat', 'well-being', 'sentimental']",https://www.youtube.com/watch?v=0kQWAqjFJS0,tt11639414,0.7921802816377731,philosophy simulation universe fantasy world psychedelic meditative trippy reflective cerebral reminiscent offbeat well-being sentimental Animation Comedy Sci-Fi & Fantasy Mystery Animation Comedy Sci-Fi & Fantasy Mystery Animation Comedy Sci-Fi & Fantasy Mystery Animation Comedy Sci-Fi & Fantasy Mystery Animation Comedy Sci-Fi & Fantasy Mystery Animation Comedy Sci-Fi & Fantasy Mystery Animation Comedy Sci-Fi & Fantasy Mystery Animation Comedy Sci-Fi & Fantasy Mystery Animation Comedy Sci-Fi & Fantasy Mystery
Monty Python's Flying Circus,8.268,688,"A British sketch comedy series with the shows being composed of surreality, risqué or innuendo-laden humour, sight gags and observational sketches without punchlines.",['Comedy'],"['surreal', 'satire', 'sketch comedy', 'hilarious', 'amused']",https://www.youtube.com/watch?v=YULeGnKPdbM,tt0063929,0.6564386162393727,surreal satire sketch comedy hilarious amused Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy Comedy
Heartland,8.267,571,"Life is hard on the Flemings' ranch in the Alberta foothills where abused or neglected horses find refuge with a kind, hard-working family. Debts abound and the bank is about to foreclose. Can they keep the ranch running?","['Family', 'Drama', 'Comedy']","['based on novel or book', 'marriage', 'family', 'death of mother', 'wild horse', 'healing process', 'horse ranch', 'alberta canada', 'based on young adult novel', 'horse training']",https://www.youtube.com/watch?v=xQ8WNamPluM,tt1094229,0.6468709414189955,based on novel or book marriage family death of mother wild horse healing process horse ranch alberta canada based on young adult novel horse training Family Drama Comedy Family Drama Comedy Family Drama Comedy Family Drama Comedy Family Drama Comedy Family Drama Comedy Family Drama Comedy Family Drama Comedy Family Drama Comedy
